Food Type,Title,Quantity,Location,Expiry,Description
Prepared Meals,Rice & Curry,5 plates,Mumbai,2026-05-08,Fresh cooked rice and curry packed for donation
Prepared Meals,Chapati & Sabzi,8 plates,Thane,2026-05-09,Homemade chapati with vegetable sabzi
Prepared Meals,Veg Biryani,11 packets,Palghar,2026-05-10,Fresh vegetarian biryani packets
Prepared Meals,Dal Khichdi,14 plates,Andheri,2026-05-11,Simple dal khichdi suitable for community meals
Prepared Meals,Pulao Packets,17 packets,Borivali,2026-05-12,Cooked vegetable pulao packets
Bakery Items,Bread Packets,20 packets,Dadar,2026-05-13,Unused fresh bread packets from bakery
Bakery Items,Buns,23 packets,Navi Mumbai,2026-05-14,Fresh bakery buns available for donation
Bakery Items,Biscuits Packets,26 packets,Vasai,2026-05-15,Sealed biscuit packets available
Bakery Items,Cake Slices,29 boxes,Virar,2026-05-16,Fresh cake slices packed safely
Bakery Items,Pav Packets,6 packets,Pune,2026-05-17,Fresh pav packets from bakery
Fruits,Banana Box,9 kg,Mumbai,2026-05-18,Fresh bananas available for donation
Fruits,Apple Crates,12 kg,Thane,2026-05-19,Fresh apples packed in crates
Fruits,Orange Basket,15 kg,Palghar,2026-05-08,Fresh oranges available
Fruits,Mixed Fruit Box,18 kg,Andheri,2026-05-09,Assorted fresh fruits for donation
Fruits,Mango Box,21 kg,Borivali,2026-05-10,Fresh mangoes available
Vegetables,Fresh Vegetables,24 kg,Dadar,2026-05-11,Farm fresh mixed vegetables
Vegetables,Potato Sack,27 kg,Navi Mumbai,2026-05-12,Fresh potatoes available in bulk
Vegetables,Tomato Crate,30 kg,Vasai,2026-05-13,Fresh tomatoes available
Vegetables,Onion Bag,7 kg,Virar,2026-05-14,Fresh onions packed for donation
Vegetables,Leafy Vegetables,10 kg,Pune,2026-05-15,Fresh leafy vegetables available
Dairy Products,Milk Packets,13 packets,Mumbai,2026-05-16,Sealed milk packets available
Dairy Products,Curd Cups,16 cups,Thane,2026-05-17,Fresh packed curd cups
Dairy Products,Paneer Packets,19 packets,Palghar,2026-05-18,Fresh paneer packets available
Dairy Products,Buttermilk Bottles,22 bottles,Andheri,2026-05-19,Sealed buttermilk bottles
Dairy Products,Cheese Slices,25 packets,Borivali,2026-05-08,Packed cheese slices available
Prepared Meals,Rice & Curry,28 plates,Dadar,2026-05-09,Fresh cooked rice and curry packed for donation
Prepared Meals,Chapati & Sabzi,5 plates,Navi Mumbai,2026-05-10,Homemade chapati with vegetable sabzi
Prepared Meals,Veg Biryani,8 packets,Vasai,2026-05-11,Fresh vegetarian biryani packets
Prepared Meals,Dal Khichdi,11 plates,Virar,2026-05-12,Simple dal khichdi suitable for community meals
Prepared Meals,Pulao Packets,14 packets,Pune,2026-05-13,Cooked vegetable pulao packets
Bakery Items,Bread Packets,17 packets,Mumbai,2026-05-14,Unused fresh bread packets from bakery
Bakery Items,Buns,20 packets,Thane,2026-05-15,Fresh bakery buns available for donation
Bakery Items,Biscuits Packets,23 packets,Palghar,2026-05-16,Sealed biscuit packets available
Bakery Items,Cake Slices,26 boxes,Andheri,2026-05-17,Fresh cake slices packed safely
Bakery Items,Pav Packets,29 packets,Borivali,2026-05-18,Fresh pav packets from bakery
Fruits,Banana Box,6 kg,Dadar,2026-05-19,Fresh bananas available for donation
Fruits,Apple Crates,9 kg,Navi Mumbai,2026-05-08,Fresh apples packed in crates
Fruits,Orange Basket,12 kg,Vasai,2026-05-09,Fresh oranges available
Fruits,Mixed Fruit Box,15 kg,Virar,2026-05-10,Assorted fresh fruits for donation
Fruits,Mango Box,18 kg,Pune,2026-05-11,Fresh mangoes available
Vegetables,Fresh Vegetables,21 kg,Mumbai,2026-05-12,Farm fresh mixed vegetables
Vegetables,Potato Sack,24 kg,Thane,2026-05-13,Fresh potatoes available in bulk
Vegetables,Tomato Crate,27 kg,Palghar,2026-05-14,Fresh tomatoes available
Vegetables,Onion Bag,30 kg,Andheri,2026-05-15,Fresh onions packed for donation
Vegetables,Leafy Vegetables,7 kg,Borivali,2026-05-16,Fresh leafy vegetables available
Dairy Products,Milk Packets,10 packets,Dadar,2026-05-17,Sealed milk packets available
Dairy Products,Curd Cups,13 cups,Navi Mumbai,2026-05-18,Fresh packed curd cups
Dairy Products,Paneer Packets,16 packets,Vasai,2026-05-19,Fresh paneer packets available
Dairy Products,Buttermilk Bottles,19 bottles,Virar,2026-05-08,Sealed buttermilk bottles
